time,bus1_v,bus3_v,bus6_v,bus8_v,bus1_ω,bus3_ω,bus6_ω,bus8_ω,bus1_p,bus3_p,bus6_p,bus8_p,bus1_q,bus3_q,bus6_q,bus8_q
0.0,1.0119531855687225,0.8967047205319927,0.861475564564092,0.8929145383752153,0.0,-9.759840051349462e-20,0.0,0.0,2.3359773045162893,-0.8766112868890548,-0.1138189523332636,3.204153262159615e-11,-0.020214011024819345,-0.32404123498616244,0.11122098993252795,0.09392747105533311
0.01,1.011953185569292,0.8967047233876457,0.8614755645648348,0.8929145383765398,1.1914296524365183e-10,3.989845753087259e-10,9.212928666126136e-11,6.819971320112009e-11,2.3359773005768303,-0.8766112373507208,-0.11381895654834315,-2.8252998864053414e-9,-0.02021401245661772,-0.3240412322475219,0.11122098916365153,0.09392746980951822
0.02,1.0119531855709087,0.8967047257162223,0.86147556456835,0.8929145383809641,4.481883388844071e-10,-1.221971135963925e-9,3.94149338883671e-10,2.7060501420523963e-10,2.3359772970704507,-0.8766111940132995,-0.11381896057535619,-5.471401380574559e-9,-0.020214013622748522,-0.3240412312803367,0.11122098831879657,0.09392746864974845
0.03,1.0119531855733506,0.8967047275970531,0.861475564573983,0.8929145383878736,9.33922907211761e-10,-4.47426777540483e-9,8.550476563960862e-10,5.76919590573149e-10,2.3359772940670425,-0.876611155976708,-0.11381896401346377,-7.783668154459633e-9,-0.020214014540985037,-0.32404123173641025,0.11122098768769786,0.09392746772343376
0.04,1.0119531855764385,0.8967047290982921,0.861475564581192,0.8929145383967483,1.5312232706357366e-9,-9.026424630419693e-9,1.4323341129272638e-9,9.617750102370944e-10,2.3359772915388675,-0.876611122604173,-0.11381896693348124,-9.801184978203148e-9,-0.020214015259264695,-0.3240412333305128,0.11122098723215629,0.09392746699438476
0.05,1.0119531855800286,0.896704730278444,0.8614755645895306,0.8929145384071496,2.2020412228957306e-9,-1.4596313575393666e-8,2.0907927880443513e-9,1.404007615963378e-9,2.335977289457286,-0.8766110933388777,-0.11381896939768821,-1.155817079198651e-8,-0.020214015817569708,-0.32404123582190003,0.11122098691983467,0.09392746643156613
0.060000000000000005,1.011953185584006,0.8967047311876849,0.8614755645986333,0.892914538418709,2.9145143345219513e-9,-2.094443000234736e-8,2.8014071245786905e-9,1.8860373204681146e-9,2.3359772877930665,-0.8766110676934954,-0.11381897146089619,-1.3084613073588436e-8,-0.020214016249084144,-0.3240412390080329,0.11122098672342247,0.09392746600838649
0.07,1.0119531855882804,0.8967047318690051,0.8614755646082033,0.8929145384311173,3.642183834437226e-9,-2.786806227659467e-8,3.5404347655666514e-9,2.393334236347251e-9,2.3359772865166812,-0.8766110452411252,-0.1138189731713781,-1.4406817818585216e-8,-0.020214016581192706,-0.3240412427191399,0.11122098661992333,0.09392746570209162
0.08,1.0119531855927815,0.8967047323591969,0.8614755646180013,0.8929145384441166,4.363306024849325e-9,-3.519623945991525e-8,4.2886118065624695e-9,2.913960961101588e-9,2.3359772855985534,-0.8766110256074436,-0.11381897457168769,-1.5547886794003984e-8,-0.02021401683633714,-0.3240412468135407,0.11122098659002791,0.09392746549323083
0.09,1.0119531855974548,0.8967047326897086,0.8614755646278373,0.8929145384574928,5.0602464884709315e-9,-4.278535359870064e-8,5.0304687794946e-9,3.4381799950898884e-9,2.3359772850092893,-0.8766110084638983,-0.11381897569935953,-1.6528131523141365e-8,-0.020214017032767873,-0.32404125117359167,0.1112209866175857,0.09392746536520745
0.09999999999999999,1.0119531856022597,0.8967047328873836,0.8614755646375608,0.8929145384710685,5.718945405528283e-9,-5.051536649915014e-8,5.753743098313767e-9,3.958117285302428e-9,2.335977284719881,-0.8766109935218139,-0.11381897658753132,-1.736543182515038e-8,-0.020214017185185784,-0.32404125570219033,0.11122098668913905,0.09392746530387619
0.10999999999999999,1.0119531856071655,0.8967047329750976,0.8614755646470569,0.8929145384846985,6.328445284945041e-9,-5.82865230105258e-8,6.448874885941771e-9,4.4674740040781345e-9,2.3359772847018863,-0.8766109805272798,-0.11381897726547377,-1.8075546948104204e-8,-0.020214017305288406,-0.3240412603197672,0.11122098679353491,0.09392746529720827
0.11999999999999998,1.0119531856121504,0.8967047329723115,0.8614755646562378,0.892914538498264,6.880473203777756e-9,-6.601650353662605e-8,7.108574659482153e-9,4.961279903934583e-9,2.3359772849275804,-0.8766109692567164,-0.11381897775906781,-1.8672385981161055e-8,-0.020214017402266554,-0.32404126496167707,0.111220986921575,0.09392746533499391
0.12999999999999998,1.0119531856171988,0.8967047328955484,0.8614755646650395,0.8929145385116694,7.369072937798988e-9,-7.36379571798779e-8,7.727453088778482e-9,5.43568235161815e-9,2.3359772853700984,-0.8766109595130299,-0.11381897809121005,-1.9168243468176138e-8,-0.020214017483208724,-0.32404126957596147,0.11122098706572675,0.09392746540858544
